id,kalimat,has_idiom,idiom_text,emotion,idiom_meaning,annotator_1,annotator_2,annotator_3
4918,"Kamu itu cuma macan ompong, banyak gaya tapi tidak punya kekuatan apa-apa",1.0,Macan ompong,marah,Penguasa tanpa kekuatan nyata,marah,marah,marah
4919,Jangan seenaknya makan tulang kamu sama sekali tidak pernah membantu,1.0,Makan tulang,marah,Mengambil keuntungan dari hasil kerja orang lain,marah,marah,marah
4920,"Jangan pasang muka masam terus, kalau tidak mau kerja ya bilang saja",1.0,Muka masam,marah,Cemberut,marah,marah,marah
4921,"Kamu itu darah tinggi sekali, diajak bicara sedikit langsung marah",1.0,darah tinggi,marah,mudah marah,marah,marah,marah
4922,"Kamu itu air di daun talas, tidak bisa di percaya sama sekali",1.0,Air di daun talas,marah,Tidak punya pendirian,marah,marah,marah
4923,"Omonganmu itu seperti api disiram minyak, bikin makin kacau",1.0,Api disiram minyak,marah,Memperparah situasi,marah,marah,marah
4924,berhenti jadi  kutu loncat tidak pernah bisa bertahan,1.0,Kutu loncat,marah,sering berpindah-pindah pekerjaan,marah,marah,marah
4925,"Jangan menjilat ludah sendiri, memalukan sekali",1.0,menjilat ludah sendiri,marah,melakukan sesuatu yang dulu pernah ditolak,marah,marah,marah
4926,"Sikapmu itu kurang ajar, keterlaluan",1.0,Kurang ajar,marah,Tidak sopan,marah,marah,marah
4927,"Ikut arus terus, dasar tidak mandiri",1.0,Ikut arus,marah,Tidak punya prinsip,marah,marah,marah
4928,"Main api terus, nanti kamu sendiri yang hancur",1.0,Main api,marah,melakukan tindakan yang sangat berisiko,marah,marah,marah
4929,"Kamu sudah menabur angin, siap terima akibatnya",1.0,Menabur angin,marah,Membuat masalah,marah,marah,marah
4930,"Jangan asal bicara, pikir dulu sebelum ngomong",1.0,Asal bicara,marah,Bicara sembarangan,marah,marah,marah
4931,"Berhenti main peran, semua orang sudah tahu kamu jahat",1.0,Main peran,marah,Pura-pura,marah,marah,marah
4932,"Banyak tingkah sekali kamu, bikin kesal",1.0,Banyak tingkah,marah,Berlebihan,marah,marah,marah
4933,"Kerjamu cuma cari masalah, bikin muak",1.0,Cari masalah,marah,Memicu konflik,marah,marah,marah
4934,"Jangan main kasar, terima saja kalau kalah",1.0,Main kasar,marah,Tidak sportif,marah,marah,marah
4935,"Omonganmu cuma angin lalu, kalau ulang lagi, kamu akan menyesal",1.0,angin lalu,marah,tidak dianggap penting,marah,marah,marah
4936,"Kamu selalu keras urat saat dinasehati, awas saja kamu",1.0,keras urat,marah,sulit diubah,marah,marah,marah
4937,"Sikapmu api dalam sekam, jangan harap tidak ketahuan",1.0,api dalam sekam,marah,diam-diam berbahaya,marah,marah,marah
4938,"Kamu itu duri dalam daging, selalu mengganggu",1.0,duri dalam daging,marah,penganggu,marah,marah,marah
4939,Jangan jadi batu sandungan dalam pekerjaan ini,1.0,batu sandungan,marah,penghambat,marah,marah,marah
4940,"Kambing congek begitu, pura-pura tidak tahu",1.0,kambing congek,marah,pura-pura tidak tahu,marah,marah,marah
4941,Dasar kacang lupa kulit,1.0,kacang lupa kulit,marah,lupa asal,marah,marah,marah
4942,"Kamu itu serigala berbulu domba, menjijikkan",1.0,serigala berbulu domba,marah,munafik,marah,marah,marah
4943,Cukup kamu jangan menyulut api lagi,1.0,menyulut api,marah,memicu kemarahan,marah,marah,marah
4944,Sikap nakal mu itu bikin aku makan hati melihatnya,1.0,makan hati,marah,perasaan jengkel,marah,marah,marah
4945,Berhenti main hakim sendiri sekarang,1.0,main hakim sendiri,marah,menghukum orang lain tanpa melalui hukum yang berlaku,marah,marah,marah
4946,Aku sudah lama simpan bara dalam dada melihat perilaku mu,1.0,bara dalam dada,marah,Perasaan marah yang terpendam,marah,marah,marah
4947,"Kamu cuma beban mati, pergi sana",1.0,beban mati,marah,tidak berguna,marah,marah,marah
4948,"jangan sebar perkataan asap tanpa api itu, bisa celaka kamu",1.0,asap tanpa api,marah,tidak jelas,marah,marah,marah
4949,"jangan memancing api kemarahan ku, kamu tahu akibatnya nanti",1.0,api kemarahan,marah,memancing marah,marah,marah,marah
4950,Jangan main dengan api cemburu ini,1.0,api cemburu,marah,perasaan cemburu,marah,marah,marah
4951,"Jangan tantang aku, aku bisa angkat senjata",1.0,angkat senjata,marah,menyerang,marah,marah,marah
4952,"kamu lihat saja sendiri pilihanmu, tidak ada arti dasar buah simalakama",1.0,buah simalakama,marah,pilihan yang merugikan,marah,marah,marah
4953,Tulisan cakar ayammu bikin emosi,1.0,cakar ayam,marah,tulisan jelek,marah,marah,marah
4954,"keterlaluan sekali perkataan mu, bikin semua orang mata merah",1.0,mata merah,marah,penuh amarah,marah,marah,marah
4955,Mulut pedasmu itu keterlaluan,1.0,mulut pedas,marah,suka berkata kasar,marah,marah,marah
4956,Kamu masih berani muncul dengan muka tembok begitu,1.0,muka tembok,marah,tidak punya rasa malu,marah,marah,marah
4957,"Dari dulu kamu itu hati busuk, tidak pernah berubah",1.0,hati busuk,marah,berniat buruk,marah,marah,marah
4958,Jangan buat aku makin kuping panas,1.0,kuping panas,marah,perasaan kesal,marah,marah,marah
4959,"Habis bikin masalah, sekarang malah cuci tangan",1.0,Cuci tangan,marah,Melakukan perbuatan buruk kemudian pura-pura tidak mengetahuinya,marah,marah,marah
4960,"Dasar tikus kantor, tunggu saja hukumannya",1.0,Tikus kantor,marah,Koruptor,marah,marah,marah
4961,"Namamu sudah di daftar hitam, ingat itu",1.0,Daftar Hitam,marah,daftar orang yang berbuat kejahatan,marah,marah,marah
4962,Ulahmu bikin kita jadi buah bibir,1.0,Buah bibir,marah,bahan pembicaraan orang,marah,marah,marah
4963,"Main di bawah tangan terus, takut ketahuan ya",1.0,Dibawah tangan,marah,Tidak secara resmi,marah,marah,marah
4964,Jangan kasih aku cerita isapan jempol,1.0,Isapan jempol,marah,Berita bohong,marah,marah,marah
4965,Jangan sebar kabar angin sembarangan,1.0,Kabar angin,marah,Berita yang belum jelas kebenarannya,marah,marah,marah
4966,"Kamu sudah lepas kontrol, berhenti sekarang",1.0,Lepas kontrol,marah,Tidak terkendali,marah,marah,marah
4967,Jangan jadi mata keranjang di sini,1.0,Mata keranjang,marah,Suka melirik,marah,marah,marah
4968,"Sekali lagi kamu panjang lidah, habis kamu",1.0,Panjang lidah,marah,Suka mengadu,marah,marah,marah
4969,"Jangan kira aku takut, lintah darat rakus",1.0,lintah darat,marah,rentenir,marah,marah,marah
4970,"Jaga bicaramu, lancang mulut",1.0,Lancang Mulut,marah,Berbicara seenaknya,marah,marah,marah
4971,Jangan jadikan aku lagi kambing hitam kalian,1.0,Kambing hitam,marah,Orang yang dipersalahkan atas kesalahan orang lain,marah,marah,marah
4972,"Berhenti menyulut api, atau aku yang akan balas",1.0,menyulut api,marah,memicu kemarahan,marah,marah,marah
4973,Sikapmu itu bikin aku makan hati terus,1.0,makan hati,marah,perasaan jengkel,marah,marah,marah
4974,"Jangan main hakim sendiri, nanti kamu yang kena",1.0,main hakim sendiri,marah,menghukum orang lain tanpa melalui hukum yang berlaku,marah,marah,marah
4975,Bara dalam dada ini sudah tak bisa aku tahan lagi,1.0,bara dalam dada,marah,Perasaan marah yang terpendam,marah,marah,marah
4976,"Omonganmu itu cuma beban mati, tak ada gunanya",1.0,beban mati,marah,tidak berguna,marah,marah,marah
4977,Jangan bersikap seperti asap tanpa api ke sini,1.0,asap tanpa api,marah,tidak jelas,marah,marah,marah
4978,Jangan picu api kemarahan ini lagi,1.0,api kemarahan,marah,memancing marah,marah,marah,marah
4979,"kamu jangan terlalu bersikap api cemburu, bisa kacau semuanya",1.0,api cemburu,marah,perasaan cemburu,marah,marah,marah
4980,"kalau terus begini, aku angkat senjata",1.0,angkat senjata,marah,menyerang,marah,marah,marah
4981,"Ini buah simalakama, pilih pun tetap rugi",1.0,buah simalakama,marah,pilihan yang merugikan,marah,marah,marah
4982,Ucapanmu itu memanaskan suasana berhenti sebelum aku bertindak,1.0,memanaskan suasana,marah,Membuat situasi menjadi tegang,marah,marah,marah
4983,"Dia balik badan begitu ditegur, tidak mau mendengar penjelasan sama sekali",1.0,balik badan,marah,Meninggalkan dengan sikap tidak terima,marah,marah,marah
4984,Dari awal aku sudah tahu kamu biang kerok nya,1.0,biang kerok,marah,pembuat onar,marah,marah,marah
4985,Otak tumpul seperti kamu tidak pantas mengerjakan tugas serumit ini,1.0,otak tumpul,marah,bodoh,marah,marah,marah
4986,"Pulang tangan kosong, itu balasan untukmu",1.0,tangan kosong,marah,tidak membawa apa-apa,marah,marah,marah
4987,Perusahaan ini di ujung tanduk gara-gara keputusanmu yang ceroboh itu,1.0,ujung tanduk,marah,hampir celaka,marah,marah,marah
4988,"Jangan mulut mahal di sini, kalau tidak mau kerja sama lebih baik pergi",1.0,mulut mahal,marah,jarang berbicara,marah,marah,marah
4989,"Pilih kasih begitu, baru kali ini aku lihat pemimpin tidak adil",1.0,pilih kasih,marah,bersikap tidak adil,marah,marah,marah
4990,"Jangan coba-coba putar balik fakta, semua orang di sini tahu kamu yang bersalah",1.0,putar balik,marah,membalikkan fakta,marah,marah,marah
4991,"Jual murah begitu, semua orang jadi tahu betapa hinanya dirimu",1.0,Jual murah,marah,melakukan sesuatu yang merendahkan kehormatan demi keuntungan tertentu,marah,marah,marah
4992,"Dasar air di daun talas, sekarang pegang omonganmu atau aku hajar",1.0,Air di daun talas,marah,Tidak punya pendirian,marah,marah,marah
4993,"Jangan api disiram minyak, keadaan sudah runyam",1.0,Api disiram minyak,marah,Memperparah situasi,marah,marah,marah
4994,Dasar kutu loncat di sini juga tidak bakal lama,1.0,Kutu loncat,marah,sering berpindah-pindah pekerjaan,marah,marah,marah
4995,"Dulu kamu tolak, sekarang minta, dasar menjilat ludah sendiri",1.0,menjilat ludah sendiri,marah,melakukan sesuatu yang dulu pernah ditolak,marah,marah,marah
4996,"Dasar kurang ajar, berani bicara begitu ke aku",1.0,Kurang ajar,marah,Tidak sopan,marah,marah,marah
4997,"Dasar ikut arus, tidak punya pendirian, memalukan",1.0,Ikut arus,marah,Tidak punya prinsip,marah,marah,marah
4998,"Kau main api dengan aku, siap terima risikonya",1.0,Main api,marah,melakukan tindakan yang sangat berisiko,marah,marah,marah
4999,"Berhenti menabur angin di sini, atau aku sendiri yang habisi",1.0,Menabur angin,marah,Membuat masalah,marah,marah,marah
5000,"Dasar asal bicara, tidak tahu masalah",1.0,Asal bicara,marah,Bicara sembarangan,marah,marah,marah
5001,"Berhenti main peran, aku tahu aslimu",1.0,Main peran,marah,Pura-pura,marah,marah,marah
5002,"Muka masam begitu, kusiram nanti",1.0,Muka masam,marah,Cemberut,marah,marah,marah
5003,"berani sekali masuk tim kami, sama saja masuk mulut harimau",1.0,Mulut harimau,marah,Bahaya,marah,marah,marah
5004,"Sekali lagi aku naik darah, habis kau",1.0,Naik darah,marah,marah,marah,marah,marah
5005,"Omong kosong, tutup mulut atau aku tutup",1.0,Omong kosong,marah,Bualan,marah,marah,marah
5006,"Dasar otak miring, jangan dekat-dekat aku",1.0,Otak miring,marah,Tidak waras,marah,marah,marah
5007,"Panas hati begitu, memuakkan",1.0,Panas hati,marah,Iri hati,marah,marah,marah
5008,"Dasar hidung belang, jangan dekati perempuanku",1.0,Hidung belang,marah,Laki-laki nakal,marah,marah,marah
5009,"Di sini bukan hukum rimba, ikut aturan",1.0,Hukum rimba,marah,siapa kuat dia berkuasa,marah,marah,marah
5010,"Dasar jago kandang, keluar sini berani tidak",1.0,Jago kandang,marah,Orang yang hanya berani di lingkungannya sendiri,marah,marah,marah
5011,"Kaki seribu lagi, jangan harap aku lindungi",1.0,Kaki seribu,marah,Berlari ketakutan,marah,marah,marah
5012,"Berhenti buang waktu, atau kusuruh keluar",1.0,buang waktu,marah,melakukan aktivitas yang tidak berguna,marah,marah,marah
5013,"Sekali lagi main tangan, kubuat kapok",1.0,main tangan,marah,memukul,marah,marah,marah
5014,"Pergi sana muka dua, muak aku",1.0,muka dua,marah,Bersikap berbeda di depan dan di belakang,marah,marah,marah
5015,"Otak udang macam kamu, jangan sok tahu",1.0,otak udang,marah,Bodoh,marah,marah,marah
5016,"Jangan ringan tangan di sini, siap-siap aku lawan",1.0,ringan tangan,marah,Mudah memukul,marah,marah,marah
5017,"Tangan besi begitu, lihat nanti akibatnya",1.0,tangan besi,marah,Mengatur dengan kekerasan,marah,marah,marah
5018,"Dasar muka tembok, pergi sana",1.0,muka tembok,marah,tidak punya rasa malu,marah,marah,marah
5019,"Jangan hati busuk, atau kamu yang celaka",1.0,hati busuk,marah,berniat buruk,marah,marah,marah
5020,"Jangan bikin kuping panas, sekali lagi habis kau",1.0,kuping panas,marah,perasaan kesal,marah,marah,marah
5021,"kamu sungguh hilang akal, sampai berani lawan orang tua",1.0,hilang akal,marah,bertindak tanpa berpikir,marah,marah,marah
5022,"Jangan bersilat lidah, aku tahu semua",1.0,bersilat lidah,marah,mengelak,marah,marah,marah
5023,"Dasar setengah hati, kerja tidak pernah tuntas",1.0,setengah hati,marah,tidak sungguh-sungguh,marah,marah,marah
5024,"Pahlawan kesiangan begitu, mending kamu pergi saja",1.0,pahlawan kesiangan,marah,bertindak terlambat,marah,marah,marah
5025,"Angin lalu begitu, jangan harap aku dengar",1.0,angin lalu,marah,tidak dianggap penting,marah,marah,marah
5026,"Keras urat begitu, kuhajar nanti kamu",1.0,keras urat,marah,sulit diubah,marah,marah,marah
5027,"Jangan api dalam sekam begitu, atau kubongkar",1.0,api dalam sekam,marah,diam-diam berbahaya,marah,marah,marah
5028,"dasar duri dalam daging, pergi dari sini",1.0,duri dalam daging,marah,penganggu,marah,marah,marah
5029,"enak sekali kamu di tim ini, padahal sebenarnya kamu batu sandungan disini",1.0,batu sandungan,marah,penghambat,marah,marah,marah
5030,"Berhenti jadi kambing congek, atau kau yang rugi",1.0,kambing congek,marah,pura-pura tidak tahu,marah,marah,marah
5031,"Kacang lupa kulit  sekali kamu, jangan harap kami bantu lagi",1.0,kacang lupa kulit,marah,lupa asal,marah,marah,marah
5032,"Berhenti jadi serigala berbulu domba, atau aku bongkar",1.0,serigala berbulu domba,marah,munafik,marah,marah,marah
5033,"Jangan kayak air di daun talas, sikapmu berubah terus bikin aku muak",1.0,Air di daun talas,marah,Tidak punya pendirian,marah,marah,marah
5034,"Kalau kamu masih ganggu, aku tidak ragu angkat senjata lawan kamu",1.0,Angkat senjata,marah,menyerang,marah,marah,marah
5035,"kamu selalu dekat sama dia, api cemburu ini semakin tidak bisa aku tahan",1.0,Api cemburu,marah,perasaan cemburu,marah,marah,marah
5036,"Tingkahmu ini benar-benar api disiram minyak, aku muak sekali",1.0,Api disiram minyak,marah,Memperparah situasi,marah,marah,marah
5037,"Tingkahmu itu memicu api kemarahan dalam diriku, jangan salahkan kalau aku memukulmu",1.0,Api kemarahan,marah,memancing marah,marah,marah,marah
5038,Jangan asal bicara kalau nggak mau aku balas lebih keras,1.0,Asal bicara,marah,Bicara sembarangan,marah,marah,marah
5039,Jangan buat pernyataan seperti asap tanpa api yang membingungkan,1.0,Asap tanpa api,marah,tidak jelas,marah,marah,marah
5040,"Kalau kamu masih begitu, aku bakal langsung balik badan tanpa mau dengar alasanmu",1.0,Balik badan,marah,Meninggalkan dengan sikap tidak terima,marah,marah,marah
5041,"Kamu itu terlalu banyak tingkah, cari masalah terus",1.0,Banyak tingkah,marah,Berlebihan,marah,marah,marah
5042,"Jangan jadi beban mati terus, atau aku yang akan menyingkirkanmu",1.0,Beban mati,marah,tidak berguna,marah,marah,marah
5043,"Ternyata kamu biang kerok semua masalah ini, jangan pikir aku akan diam saja",1.0,Biang kerok,marah,pembuat onar,marah,marah,marah
5044,"Aku muak dengan situasi buah simalakama ini, jangan sampai aku ambil keputusan nekat",1.0,Buah simalakama,marah,pilihan yang merugikan,marah,marah,marah
5045,"Berhenti buang waktu dan mulai kerja, atau kamu akan menyesal nanti",1.0,Buang waktu,marah,melakukan aktivitas yang tidak berguna,marah,marah,marah
5046,"Cakar ayam seperti ini bikin aku kesal, perbaiki sekarang",1.0,Cakar ayam,marah,tulisan jelek,marah,marah,marah
5047,"Kalau kamu terus cari masalah, kamu sendiri yang akan menanggung akibatnya",1.0,Cari masalah,marah,Memicu konflik,marah,marah,marah
5048,"Tingkahmu itu bikin darah tinggi, jangan heran kalau aku balas",1.0,darah tinggi,marah,mudah marah,marah,marah,marah
5049,"Tingkahmu itu bikin geram hati, jangan salahkan aku kalau aku balas",1.0,Geram hati,marah,marah tertahan,marah,marah,marah
5050,Berhenti ikut arus dan mulai berpikir sendiri atau aku yang akan ambil keputusan,1.0,Ikut arus,marah,Tidak punya prinsip,marah,marah,marah
5051,Dari tadi aku jengkel hati jangan bicara lagi kalau tidak mau masalah,1.0,Jengkel hati,marah,sangat kesal,marah,marah,marah
5052,"Jangan pikir semua bisa dibeli, berhenti jual murah kehormatanmu",1.0,Jual murah,marah,melakukan sesuatu yang merendahkan kehormatan demi keuntungan tertentu,marah,marah,marah
5053,"Kurang ajar sekali kamu hari ini, benar-benar bikin aku marah besar",1.0,Kurang ajar,marah,Tidak sopan,marah,marah,marah
5054,Sikap kutu loncatmu itu bikin aku muak,1.0,Kutu loncat,marah,sering berpindah-pindah pekerjaan,marah,marah,marah
5055,"Jangan main api seperti ini, kamu sendiri yang akan kena akibatnya nanti",1.0,Main api,marah,melakukan tindakan yang sangat berisiko,marah,marah,marah
5056,"Jangan berani main hakim sendiri, atau aku yang akan melawanmu",1.0,Main hakim sendiri,marah,menghukum orang lain tanpa melalui hukum yang berlaku,marah,marah,marah
5057,Jangan main kasar kalau tidak mau aku balas lebih keras,1.0,Main kasar,marah,Tidak sportif,marah,marah,marah
5058,"cukup main peran di depanku, aku tahu kamu cuma pura-pura",1.0,Main peran,marah,Pura-pura,marah,marah,marah
5059,"Dengan mata merah begitu, kamu pikir aku akan diam saja",1.0,Mata merah,marah,penuh amarah,marah,marah,marah
5060,Berhenti memanaskan suasana sebelum semuanya jadi kacau,1.0,Memanaskan suasana,marah,Membuat situasi menjadi tegang,marah,marah,marah
5061,"Semua usahamu itu cuma memukul angin, tidak ada hasil sama sekali",1.0,Memukul angin,marah,tidak ada hasil,marah,marah,marah
5062,"Jangan menabur angin di sini, aku tidak akan diam melihat kekacauan ini",1.0,Menabur angin,marah,Membuat masalah,marah,marah,marah
5063,Berani-beraninya kamu menjilat lidah sendiri setelah dulu menolak keras,1.0,Menjilat ludah sendiri,marah,melakukan sesuatu yang dulu pernah ditolak,marah,marah,marah
5064,"Kamu itu mulut mahal, saat dibutuhkan malah tidak pernah bersuara",1.0,Mulut mahal,marah,jarang berbicara,marah,marah,marah
5065,"Jangan percaya omongannya, mulut manis hati berbisa seperti itu penuh tipu daya",1.0,Mulut manis hati berbisa,marah,"pura-pura baik, tapi menyimpan maksud jahat",marah,marah,marah
5066,"Kamu memang hati batu, tidak peduli siapa pun yang kamu sakiti",1.0,Hati batu,marah,tidak memiliki empati,marah,marah,marah
5067,Mulut pedasmu itu bikin suasana makin kacau,1.0,Mulut pedas,marah,suka berkata kasar,marah,marah,marah
5068,"Jangan kira aku tidak tahu, kamu itu musuh dalam selimut",1.0,Musuh dalam selimut,marah,penghianat,marah,marah,marah
